RFQ Timestamp,Maturity Date,Status,Rejected message,CNPJ,Counterparty,Product,DC (adj),Currency,Parity,Notional,Spot Cost (Sett. Rate),Spot FX,Yield (CCY),Yield (Client),Yield (BRL) cost rate,Yield (BRL) client rate,FWD,rfq_channel,FWD-Client,Side (Blotter),Side
2025-12-30 17:12:05,2026-08-07,NOTH.DONE,,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,220,USD,USD/BRL,"128.442.515,69","5,3219","5,3219","0,05215","0,07201","0,14751","0,14706","5,632",OX_CHANNEL_360T,"5,6306",Compra,Venda
2025-12-30 15:26:20,2026-02-25,DEAL,-,78847159000170,MOCK CLIENT 13 LTDA,FXNDF,57,USD,USD/BRL,"30.460,38","5,1312","5,1312","0,0465","0,028439","0,14696","0,14677","5,2128",OX_CHANNEL_BLP,"5,1924",Compra,Venda
2025-12-30 15:25:06,2026-10-05,NOTH.DONE,,98480132000112,MOCK CLIENT 04 LTDA,FXNDF,279,BRL,USD/BRL,"12.765.380,53","5,358","5,358","0,10434","0,086158","0,14276","0,14285","5,5175",OX_CHANNEL_360T,"5,5231",Compra,Venda
2025-12-30 11:07:22,2027-10-10,DEAL,-,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,649,USD,USD/BRL,"49.902,22","5,2893","5,2893","0,09279","0,101939","0,13615","0,13642","5,7028",OX_CHANNEL_BLP,"5,7317",Venda,Compra
2025-12-29 18:14:01,2026-04-10,DEAL,-,25333159000116,MOCK CLIENT 23 LTDA,FXNDF,102,USD,USD/BRL,"4.206.363,17","5,3399","5,3399","0,09604","0,086488","0,14937","0,14904","5,4206",OX_CHANNEL_BLP,"5,4453",Compra,Venda
2025-12-29 17:47:20,2026-02-09,REJECTED,e-sales: FXNDF desk offline,97938732000138,MOCK CLIENT 02 LTDA,FXNDF,-,USD,USD/BRL,"10.803,69",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Compra,Venda
2025-12-29 16:14:35,2026-02-02,QUOTE,,97938732000138,MOCK CLIENT 02 LTDA,FXNDF,35,USD,USD/BRL,"34.033,79","5,218","5,218","0,08749","0,114846","0,13679","0,13668","5,243",OX_CHANNEL_360T,"5,2723",Venda,Compra
2025-12-29 13:47:23,2026-11-07,REJECTED,FXSupplier desk offline,86648532000197,MOCK CLIENT 20 LTDA,FXNDF,-,BRL,USD/BRL,"6.995.315,47",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Compra,Venda
2025-12-28 15:50:02,2026-02-23,REJECTED,Counterparty not registered on the platform,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,-,BRL,USD/BRL,"531.017,79",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Compra,Venda
2025-12-28 15:49:12,2026-04-14,REJECTED,Notional below the parameter e-sales,63582860000109,MOCK CLIENT 15 LTDA,FXNDF,-,USD,USD/BRL,"26.071,91",-,-,-,-,-,-,-,OX_CHANNEL_BLP,-,Compra,Venda
2025-12-28 15:26:58,2026-12-29,NOTH.DONE,,97938732000138,MOCK CLIENT 02 LTDA,FXNDF,366,BRL,USD/BRL,"2.610.786,08","5,2209","5,2209","0,11496","0,125345","0,1409","0,14044","5,3586",OX_CHANNEL_360T,"5,32",Compra,Venda
2025-12-27 18:37:15,2027-08-17,NOTH.DONE,,97938732000138,MOCK CLIENT 02 LTDA,FXNDF,598,USD,USD/BRL,"509.962,93","5,3484","5,3484","0,13051","0,111814","0,14331","0,1434","5,4621",OX_CHANNEL_360T,"5,4568",Compra,Venda
2025-12-27 16:52:43,2026-09-07,REJECTED,Due date above the parameter e-sales (counterparty),97938732000138,MOCK CLIENT 02 LTDA,FXNDF,-,USD,USD/BRL,"42.960,55",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Venda,Compra
2025-12-27 15:34:05,2025-12-28,NOTH.DONE,,30207392000127,MOCK CLIENT 09 LTDA,FXNDF,1,USD,USD/BRL,"822.142,18","5,2127","5,2127","0,12231","0,159141","0,14976","0,14938","5,2131",OX_CHANNEL_BLP,"5,197",Compra,Venda
2025-12-27 15:13:28,2026-09-12,NOTH.DONE,,97938732000138,MOCK CLIENT 02 LTDA,FXNDF,259,USD,USD/BRL,"16.851.678,75","5,124","5,124","0,07683","0,109514","0,14644","0,14663","5,3806",OX_CHANNEL_360T,"5,3676",Compra,Venda
2025-12-27 13:56:45,2026-11-18,NOTH.DONE,,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,326,USD,USD/BRL,"701.105,46","5,2618","5,2618","0,12398","0,139448","0,14087","0,14086","5,3423",OX_CHANNEL_BLP,"5,3014",Compra,Venda
2025-12-26 12:59:27,2026-01-04,REJECTED,e-sales: FXNDF desk offline,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,-,USD,USD/BRL,"405.969,74",-,-,-,-,-,-,-,OX_CHANNEL_BLP,-,Venda,Compra
2025-12-26 09:48:17,2026-03-06,NOTH.DONE,,78708222000145,MOCK CLIENT 05 LTDA,FXNDF,70,USD,USD/BRL,"242.478.196,42","5,1544","5,1544","0,1295","0,158988","0,13814","0,13784","5,1631",OX_CHANNEL_360T,"5,1971",Venda,Compra
2025-12-25 15:51:19,2026-01-26,REJECTED,Counterparty not registered on the platform,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,-,USD,USD/BRL,"187.896,48",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Venda,Compra
2025-12-25 13:35:41,2027-10-08,NOTH.DONE,,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,652,USD,USD/BRL,"24.315,95","5,0662","5,0662","0,13298","0,125562","0,13528","0,13557","5,0873",OX_CHANNEL_360T,"5,098",Venda,Compra
2025-12-25 13:25:39,2026-10-12,DEAL,-,29627835000128,MOCK CLIENT 10 LTDA,FXNDF,291,USD,USD/BRL,"4.485.442,06","5,2165","5,2165","0,13403","0,130809","0,14806","0,14783","5,2757",OX_CHANNEL_RFQAPI,"5,3023",Venda,Compra
2025-12-25 12:58:31,2026-10-31,NOTH.DONE,,97938732000138,MOCK CLIENT 02 LTDA,FXNDF,310,USD,USD/BRL,"290.128,29","5,2542","5,2542","0,03805","0,066664","0,14625","0,14613","5,7437",OX_CHANNEL_BLP,"5,7754",Venda,Compra
2025-12-24 17:39:16,2026-06-19,DEAL,-,78708222000145,MOCK CLIENT 05 LTDA,FXNDF,177,USD,USD/BRL,"995.351,15","5,0669","5,0669","0,08701","0,1017","0,14276","0,1423","5,2058",OX_CHANNEL_RFQAPI,"5,2353",Compra,Venda
2025-12-24 16:03:12,2026-10-12,REJECTED,"System is not ready (marketdata), ask for OctaX PRO support",79438277000140,MOCK CLIENT 01 LTDA,FXNDF,-,USD,USD/BRL,"18.469,49",-,-,-,-,-,-,-,OX_CHANNEL_BLP,-,Compra,Venda
2025-12-24 14:50:30,2026-03-09,DEAL,-,30207392000127,MOCK CLIENT 09 LTDA,FXNDF,75,USD,USD/BRL,"8.659,39","5,0555","5,0555","0,07576","0,125324","0,13955","0,13926","5,1227",OX_CHANNEL_360T,"5,1256",Compra,Venda
2025-12-24 14:40:16,2027-08-12,NOTH.DONE,,71894122000155,MOCK CLIENT 29 LTDA,FXNDF,596,USD,USD/BRL,"45.786,89","5,3555","5,3555","0,03023","0,043587","0,14852","0,14869","6,4043",OX_CHANNEL_360T,"6,4226",Venda,Compra
2025-12-24 12:16:35,2026-08-22,NOTH.DONE,,97938732000138,MOCK CLIENT 02 LTDA,FXNDF,241,BRL,EUR/BRL,"48.076,65","6,1456","6,1456","0,133","0,165967","0,13946","0,13982","6,1722",OX_CHANNEL_BLP,"6,1633",Compra,Venda
2025-12-24 12:15:15,2026-12-30,NOTH.DONE,,98480132000112,MOCK CLIENT 04 LTDA,FXNDF,371,BRL,USD/BRL,"23.584,56","5,3124","5,3124","0,12916","0,127823","0,14544","0,14553","5,4015",OX_CHANNEL_BLP,"5,3596",Compra,Venda
2025-12-24 11:21:11,2026-01-21,DEAL,-,98480132000112,MOCK CLIENT 04 LTDA,FXNDF,28,USD,USD/BRL,"605.785,07","5,2811","5,2811","0,1116","0,126839","0,14557","0,14508","5,2951",OX_CHANNEL_BLP,"5,2931",Compra,Venda
2025-12-24 10:25:23,2026-06-17,EXP.QUOTE,-,44818739000189,MOCK CLIENT 03 LTDA,FXNDF,-,BRL,USD/BRL,"55.515,09",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Venda,Compra
2025-12-23 17:18:26,2026-05-03,NOTH.DONE,,97938732000138,MOCK CLIENT 02 LTDA,FXNDF,131,USD,USD/BRL,"12.597.620,21","5,3852","5,3852","0,07908","0,073439","0,14317","0,14346","5,5108",OX_CHANNEL_360T,"5,5393",Venda,Compra
2025-12-23 14:21:52,2026-03-24,DEAL,-,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,91,USD,USD/BRL,"9.391,83","5,2048","5,2048","0,11303","0,118275","0,14497","0,14462","5,2468",OX_CHANNEL_BLP,"5,2152",Compra,Venda
2025-12-23 12:17:55,2026-10-20,REJECTED,"System is not ready (marketdata), ask for OctaX PRO support",72532007000143,MOCK CLIENT 08 LTDA,FXNDF,-,EUR,EUR/BRL,"748.181,70",-,-,-,-,-,-,-,OX_CHANNEL_BLP,-,Venda,Compra
2025-12-23 11:01:01,2026-01-19,NOTH.DONE,,63582860000109,MOCK CLIENT 15 LTDA,FXNDF,27,USD,USD/BRL,"16.990.085,38","5,3448","5,3448","0,06899","0,052331","0,14476","0,14438","5,3752",OX_CHANNEL_BLP,"5,3617",Compra,Venda
2025-12-22 10:11:18,2026-03-11,NOTH.DONE,,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,79,USD,USD/BRL,"219.043,22","5,491","5,491","0,08855","0,099494","0,13572","0,13585","5,5478",OX_CHANNEL_360T,"5,5713",Venda,Compra
2025-12-21 17:53:50,2026-02-19,REJECTED,Due date above the parameter e-sales (counterparty),86648532000197,MOCK CLIENT 20 LTDA,FXNDF,-,USD,USD/BRL,"625.558,67",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Compra,Venda
2025-12-21 17:31:10,2027-01-19,NOTH.DONE,,44818739000189,MOCK CLIENT 03 LTDA,FXNDF,394,USD,USD/BRL,"4.187,42","5,5135","5,5135","0,1241","0,16577","0,14593","0,1457","5,6452",OX_CHANNEL_RFQAPI,"5,6828",Compra,Venda
2025-12-21 12:57:36,2026-03-08,NOTH.DONE,,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,77,USD,USD/BRL,"3.159,47","5,1714","5,1714","0,07794","0,125122","0,14632","0,14613","5,247",OX_CHANNEL_BLP,"5,2838",Venda,Compra
2025-12-21 10:51:31,2027-03-12,NOTH.DONE,,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,446,USD,USD/BRL,"48.501,96","5,2733","5,2733","0,12321","0,15831","0,14761","0,14765","5,4327",OX_CHANNEL_RFQAPI,"5,4198",Venda,Compra
2025-12-20 16:20:00,2026-02-03,REJECTED,Could not fetch client spreads (7),97938732000138,MOCK CLIENT 02 LTDA,FXNDF,-,BRL,USD/BRL,"17.132,01",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Venda,Compra
2025-12-20 14:58:07,2026-01-08,NOTH.DONE,,98480132000112,MOCK CLIENT 04 LTDA,FXNDF,19,USD,USD/BRL,"991.469,10","5,1617","5,1617","0,03308","0,023081","0,14676","0,14668","5,1927",OX_CHANNEL_BLP,"5,1539",Compra,Venda
2025-12-19 16:50:29,2025-12-28,NOTH.DONE,,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,9,USD,USD/BRL,"27.267.660,33","5,4841","5,4841","0,0431","0,054608","0,14779","0,14773","5,4985",OX_CHANNEL_360T,"5,4958",Compra,Venda
2025-12-18 16:14:40,2027-06-27,REJECTED,System is offline (healthcheck),48130156000195,MOCK CLIENT 22 LTDA,FXNDF,-,BRL,USD/BRL,"195.099,82",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Venda,Compra
2025-12-18 12:17:56,2027-11-09,REJECTED,Currency is disabled,72532007000143,MOCK CLIENT 08 LTDA,FXNDF,-,USD,USD/BRL,"37.233,04",-,-,-,-,-,-,-,OX_CHANNEL_RFQAPI,-,Venda,Compra
2025-12-18 09:11:12,2026-10-29,EXP.QUOTE,-,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,-,USD,USD/BRL,"26.408,05",-,-,-,-,-,-,-,OX_CHANNEL_BLP,-,Venda,Compra
2025-12-17 17:39:21,2026-01-12,NOTH.DONE,,97938732000138,MOCK CLIENT 02 LTDA,FXNDF,26,USD,USD/BRL,"12.455,73","5,1975","5,1975","0,03907","0,078052","0,14269","0,14283","5,2364",OX_CHANNEL_BLP,"5,2693",Venda,Compra
2025-12-17 17:11:56,2027-11-04,NOTH.DONE,,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,687,BRL,USD/BRL,"17.202.718,31","5,514","5,514","0,10993","0,094122","0,13801","0,13797","5,8095",OX_CHANNEL_360T,"5,798",Compra,Venda
2025-12-17 16:46:26,2026-01-09,REJECTED,Currency is disabled,29627835000128,MOCK CLIENT 10 LTDA,FXNDF,-,USD,USD/BRL,"482.660,76",-,-,-,-,-,-,-,OX_CHANNEL_BLP,-,Venda,Compra
2025-12-17 16:42:28,2026-02-28,NOTH.DONE,,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,73,USD,USD/BRL,"7.440.959,76","5,5269","5,5269","0,1279","0,159414","0,14469","0,14506","5,5457",OX_CHANNEL_360T,"5,5773",Venda,Compra
2025-12-17 15:30:17,2026-01-06,NOTH.DONE,,44818739000189,MOCK CLIENT 03 LTDA,FXNDF,20,BRL,USD/BRL,"17.745,50","5,372","5,372","0,10124","0,131194","0,14896","0,14899","5,3862",OX_CHANNEL_BLP,"5,358",Compra,Venda
2025-12-17 14:46:46,2026-01-14,NOTH.DONE,,12602811000144,MOCK CLIENT 17 LTDA,FXNDF,28,USD,USD/BRL,"11.395.968,21","5,0509","5,0509","0,05807","0,054876","0,14656","0,14646","5,0857",OX_CHANNEL_BLP,"5,0838",Compra,Venda
2025-12-17 10:52:25,2027-08-06,REJECTED,e-sales: FXNDF desk offline,98480132000112,MOCK CLIENT 04 LTDA,FXNDF,-,USD,USD/BRL,"5.464,03",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Compra,Venda
2025-12-17 10:51:34,2026-03-17,NOTH.DONE,,98480132000112,MOCK CLIENT 04 LTDA,FXNDF,90,USD,USD/BRL,"866.665,99","5,2101","5,2101","0,04001","0,088595","0,14313","0,14292","5,3444",OX_CHANNEL_BLP,"5,336",Compra,Venda
2025-12-16 17:01:00,2026-11-30,REJECTED,Currency is disabled,97938732000138,MOCK CLIENT 02 LTDA,FXNDF,-,USD,USD/BRL,"40.843,49",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Compra,Venda
2025-12-16 16:47:37,2027-10-10,NOTH.DONE,,98480132000112,MOCK CLIENT 04 LTDA,FXNDF,663,USD,USD/BRL,"18.196.389,70","5,1275","5,1275","0,03668","0,018011","0,14365","0,1437","6,1376",OX_CHANNEL_360T,"6,1259",Compra,Venda
2025-12-16 15:10:07,2026-04-12,NOTH.DONE,,79438277000140,MOCK CLIENT 01 LTDA,FXNDF,117,BRL,USD/BRL,"724.188,03","5,0873","5,0873","0,09326","0,094982","0,13804","0,13826","5,1613",OX_CHANNEL_RFQAPI,"5,1421",Compra,Venda
2025-12-16 14:42:42,2027-02-11,NOTH.DONE,,63582860000109,MOCK CLIENT 15 LTDA,FXNDF,422,BRL,USD/BRL,"601.398,75","5,273","5,273","0,03993","0,061917","0,1466","0,14641","5,9323",OX_CHANNEL_360T,"5,8971",Compra,Venda
2025-12-16 11:03:39,2026-04-04,REJECTED,e-sales: disabled autoflow,39422361000116,MOCK CLIENT 25 LTDA,FXNDF,-,BRL,USD/BRL,"836.354,33",-,-,-,-,-,-,-,OX_CHANNEL_BLP,-,Venda,Compra
2025-12-15 13:41:48,2026-02-11,REJECTED,Notional below the parameter e-sales,98249274000188,MOCK CLIENT 24 LTDA,FXNDF,-,USD,USD/BRL,"141.305,92",-,-,-,-,-,-,-,OX_CHANNEL_BLP,-,Compra,Venda
2025-12-15 12:39:47,2027-09-27,NOTH.DONE,,98249274000188,MOCK CLIENT 24 LTDA,FXNDF,651,USD,USD/BRL,"249.252,20","5,3583","5,3583","0,0632","0,099489","0,14149","0,14153","6,1169",OX_CHANNEL_360T,"6,1263",Venda,Compra
2025-12-14 11:11:52,2026-02-22,NOTH.DONE,,78847159000170,MOCK CLIENT 13 LTDA,FXNDF,70,BRL,USD/BRL,"993.979,68","5,4232","5,4232","0,11471","0,133702","0,14844","0,14879","5,4588",OX_CHANNEL_BLP,"5,4207",Compra,Venda
2025-12-13 15:43:13,2026-02-17,NOTH.DONE,,28113524000117,MOCK CLIENT 06 LTDA,FXNDF,66,BRL,USD/BRL,"386.586,60","5,0029","5,0029","0,0855","0,092166","0,14966","0,14983","5,0617",OX_CHANNEL_BLP,"5,0679",Venda,Compra
2025-12-12 18:21:18,2027-08-24,REJECTED,RFX Credit Limit: counterparty do not have enough limit available,97938732000138,MOCK CLIENT 02 LTDA,FXNDF,-,USD,USD/BRL,"9.019.161,67",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Venda,Compra
2025-12-12 16:15:23,2026-03-09,NOTH.DONE,,29627835000128,MOCK CLIENT 10 LTDA,FXNDF,87,BRL,JPY/BRL,"3.485.098,92","0,0339","0,0339","0,0716","0,077798","0,14399","0,14447","0,0345",OX_CHANNEL_360T,"0,0344",Venda,Compra
2025-12-12 14:50:25,2026-02-13,DEAL,-,48130156000195,MOCK CLIENT 22 LTDA,FXNDF,63,BRL,USD/BRL,"4.987.625,40","5,2837","5,2837","0,11646","0,149493","0,14584","0,1458","5,3109",OX_CHANNEL_BLP,"5,3446",Venda,Compra
2025-12-12 14:03:01,2026-05-26,REJECTED,Counterparty not registered on the platform,44818739000189,MOCK CLIENT 03 LTDA,FXNDF,-,USD,USD/BRL,"456.740,78",-,-,-,-,-,-,-,OX_CHANNEL_BLP,-,Compra,Venda
2025-12-11 18:23:02,2026-02-11,REJECTED,Could not fetch client spreads (7),79438277000140,MOCK CLIENT 01 LTDA,FXNDF,-,USD,USD/BRL,"5.642,48",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Compra,Venda
2025-12-11 18:16:53,2027-02-27,NEW.ORDER,,78708222000145,MOCK CLIENT 05 LTDA,FXNDF,443,BRL,USD/BRL,"335.606,43","5,3841","5,3841","0,12135","0,152105","0,14998","0,15036","5,5738",OX_CHANNEL_360T,"5,5639",Compra,Venda
2025-12-11 11:21:54,2026-01-27,REJECTED,e-sales: FXNDF desk offline,44818739000189,MOCK CLIENT 03 LTDA,FXNDF,-,USD,USD/BRL,"798.043,38",-,-,-,-,-,-,-,OX_CHANNEL_RFQAPI,-,Venda,Compra
2025-12-10 18:55:24,2025-12-13,REJECTED,FXSupplier desk offline,44818739000189,MOCK CLIENT 03 LTDA,FXNDF,-,USD,USD/BRL,"184.455,41",-,-,-,-,-,-,-,OX_CHANNEL_BLP,-,Venda,Compra
2025-12-10 18:36:45,2027-04-30,NOTH.DONE,,24958620000116,MOCK CLIENT 16 LTDA,FXNDF,506,USD,USD/BRL,"728.633,43","5,0579","5,0579","0,08681","0,080289","0,14668","0,14663","5,4835",OX_CHANNEL_BLP,"5,4903",Venda,Compra
2025-12-10 15:48:15,2025-12-20,REJECTED,Currency is disabled,98480132000112,MOCK CLIENT 04 LTDA,FXNDF,-,USD,USD/BRL,"36.540,11",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Compra,Venda
2025-12-10 15:13:19,2026-02-02,REJECTED,RFX Credit Limit: counterparty do not have enough limit available,97938732000138,MOCK CLIENT 02 LTDA,FXNDF,-,USD,USD/BRL,"6.605.912,32",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Compra,Venda
2025-12-09 17:18:50,2026-10-16,REJECTED,Could not fetch client spreads (7),79438277000140,MOCK CLIENT 01 LTDA,FXNDF,-,USD,USD/BRL,"4.988,98",-,-,-,-,-,-,-,OX_CHANNEL_360T,-,Compra,Venda
2025-12-09 15:11:26,2027-06-12,REJECTED,"System is not ready (marketdata), ask for OctaX PRO support",30207392000127,MOCK CLIENT 09 LTDA,FXNDF,-,EUR,EUR/BRL,"485.255,91",-,-,-,-,-,-,-,OX_CHANNEL_BLP,-,Venda,Compra
2025-12-09 12:30:47,2025-12-22,DEAL,-,72532007000143,MOCK CLIENT 08 LTDA,FXNDF,13,BRL,USD/BRL,"576.957,03","5,1598","5,1598","0,05138","0,072378","0,14648","0,14602","5,1775",OX_CHANNEL_BLP,"5,1797",Venda,Compra
2025-12-09 10:21:12,2026-04-21,NOTH.DONE,,78708222000145,MOCK CLIENT 05 LTDA,FXNDF,133,EUR,EUR/BRL,"447.760,52","6,0182","6,0182","0,12637","0,170108","0,14244","0,14286","6,0539",OX_CHANNEL_BLP,"6,0851",Venda,Compra
2025-12-08 17:49:46,2026-02-14,NOTH.DONE,,98480132000112,MOCK CLIENT 04 LTDA,FXNDF,68,USD,USD/BRL,"59.507.896,43","5,5355","5,5355","0,04086","0,035841","0,14256","0,14277","5,6418",OX_CHANNEL_BLP,"5,6588",Venda,Compra
